customer_id,first_name,last_name,email,
1,John,Doe,john_doe_6809@gmail.com,
2,Jane,Smith,jane_smith_5953@gmail.com,
3,Michael,Brown,michael_brown_1370@gmail.com,
4,Emily,Davis,emily_davis_6690@gmail.com,
5,David,Johnson,david_johnson_9329@gmail.com,
6,Sophia,Lee,sophia_lee_9084@gmail.com,
7,Chris,Taylor,chris_taylor_2022@gmail.com,
8,Olivia,Harris,olivia_harris_7031@gmail.com,
9,James,Clark,james_clark_2455@gmail.com,
10,Emma,Lewis,emma_lewis_7104@gmail.com,
11,John,Doe,john_doe_6338@gmail.com,
12,Jane,Smith,jane_smith_8783@gmail.com,
13,Michael,Brown,michael_brown_9943@gmail.com,
14,Emily,Davis,emily_davis_9507@gmail.com,
15,David,Johnson,david_johnson_8289@gmail.com,
16,Sophia,Lee,sophia_lee_2293@gmail.com,
17,Chris,Taylor,chris_taylor_4633@gmail.com,
18,Olivia,Harris,olivia_harris_6247@gmail.com,
19,James,Clark,james_clark_4179@gmail.com,
20,Emma,Lewis,emma_lewis_6108@gmail.com,
21,John,Doe,john_doe_8948@gmail.com,
22,Jane,Smith,jane_smith_2322@gmail.com,
23,Michael,Brown,michael_brown_3538@gmail.com,
24,Emily,Davis,emily_davis_6606@gmail.com,
25,David,Johnson,david_johnson_8142@gmail.com,
26,Sophia,Lee,sophia_lee_6499@gmail.com,
27,Chris,Taylor,chris_taylor_2279@gmail.com,
28,Olivia,Harris,olivia_harris_5744@gmail.com,
29,James,Clark,james_clark_5803@gmail.com,
30,Emma,Lewis,emma_lewis_9552@gmail.com,
31,John,Doe,john_doe_4735@gmail.com,
32,Jane,Smith,jane_smith_4235@gmail.com,
33,Michael,Brown,michael_brown_9636@gmail.com,
34,Emily,Davis,emily_davis_3891@gmail.com,
35,David,Johnson,david_johnson_3718@gmail.com,
36,Sophia,Lee,sophia_lee_2910@gmail.com,
37,Chris,Taylor,chris_taylor_2245@gmail.com,
38,Olivia,Harris,olivia_harris_7520@gmail.com,
39,James,Clark,james_clark_3905@gmail.com,
40,Emma,Lewis,emma_lewis_3276@gmail.com,
41,John,Doe,john_doe_5480@gmail.com,
42,Jane,Smith,jane_smith_6099@gmail.com,
